District Council/ Constituency Area,Population
Central and Western - Chung Wan,12501
Central and Western - Mid Levels East,17009
Central and Western - Castle Road,20058
Central and Western - Peak,20263
Central and Western - University,18032
Central and Western - Kennedy Town and Mount Davis,17204
Central and Western - Kwun Lung,15517
Central and Western - Sai Wan,14517
Central and Western - Belcher,21151
Central and Western - Shek Tong Tsui,17464
Central and Western - Sai Ying Pun,14418
Central and Western - Sheung Wan,13975
Central and Western - Tung Wah,11834
Central and Western - Centre Street,14207
Central and Western - Water Street,15116
Wan Chai - Hennessy,12839
Wan Chai - Oi Kwan,13078
Wan Chai - Canal Road,12076
Wan Chai - Victoria Park,14242
Wan Chai - Tin Hau,15093
Wan Chai - Causeway Bay,11246
Wan Chai - Tai Hang,14515
Wan Chai - Jardine's Lookout,16502
Wan Chai - Broadwood,15906
Wan Chai - Happy Valley,12703
Wan Chai - Stubbs Road,14730
Wan Chai - Southorn,14563
Wan Chai - Tai Fat Hau,12630
Eastern - Tai Koo Shing West,18331
Eastern - Tai Koo Shing East,18231
Eastern - Lei King Wan,21788
Eastern - Aldrich Bay,17453
Eastern - Shaukeiwan,13405
Eastern - A Kung Ngam,18475
Eastern - Heng Fa Chuen,19119
Eastern - Tsui Wan,12329
Eastern - Yan Lam,16537
Eastern - Siu Sai Wan,13032
Eastern - King Yee,14767
Eastern - Wan Tsui,15075
Eastern - Fei Tsui,14941
Eastern - Mount Parker,13409
Eastern - Braemar Hill,17323
Eastern - Fortress Hill,16347
Eastern - City Garden,17226
Eastern - Provident,21744
Eastern - Fort Street,16229
Eastern - Kam Ping,16976
Eastern - Tanner,14538
Eastern - Healthy Village,13546
Eastern - Quarry Bay,13205
Eastern - Nam Fung,14363
Eastern - Kornhill,15412
Eastern - Kornhill Garden,13970
Eastern - Hing Tung,18384
Eastern - Sai Wan Ho,20161
Eastern - Lower Yiu Tung,19194
Eastern - Upper Yiu Tung,12167
Eastern - Hing Man,14605
Eastern - Lok Hong,11667
Eastern - Tsui Tak,12827
Eastern - Yue Wan,14731
Eastern - Kai Hiu,13527
Southern - Aberdeen,19813
Southern - Ap Lei Chau Estate,14620
Southern - Ap Lei Chau North,13097
Southern - Lei Tung I,15825
Southern - Lei Tung II,11753
Southern - South Horizons East,15555
Southern - South Horizons West,15902
Southern - Wah Kwai,13632
Southern - Wah Fu South,13625
Southern - Wah Fu North,14184
Southern - Pokfulam,20216
Southern - Chi Fu,15784
Southern - Tin Wan,17460
Southern - Shek Yue,16074
Southern - Wong Chuk Hang,18889
Southern - Bays Area,18514
Southern - Stanley and Shek O,20051
Yau Tsim Mong - Tsim Sha Tsui West,21431
Yau Tsim Mong - Jordan South,18678
Yau Tsim Mong - Jordan West,18260
Yau Tsim Mong - Yau Ma Tei South,21141
Yau Tsim Mong - Charming,17198
Yau Tsim Mong - Mong Kok West,16886
Yau Tsim Mong - Fu Pak,20235
Yau Tsim Mong - Olympic,18205
Yau Tsim Mong - Cherry,14109
Yau Tsim Mong - Tai Kok Tsui South,15790
Yau Tsim Mong - Tai Kok Tsui North,20452
Yau Tsim Mong - Tai Nan,22800
Yau Tsim Mong - Mong Kok North,19337
Yau Tsim Mong - Mong Kok East,17199
Yau Tsim Mong - Mong Kok South,16450
Yau Tsim Mong - Yau Ma Tei North,13230
Yau Tsim Mong - East Tsim Sha Tsui and King's Park,16080
Yau Tsim Mong - Tsim Sha Tsui Central,16939
Yau Tsim Mong - Jordan North,18550
Sham Shui Po - Po Lai,19329
Sham Shui Po - Cheung Sha Wan,15853
Sham Shui Po - Nam Cheong North,23369
Sham Shui Po - Shek Kip Mei,21093
Sham Shui Po - Nam Cheong East,21434
Sham Shui Po - Nam Cheong South,22780
Sham Shui Po - Nam Cheong Central,21504
Sham Shui Po - Nam Cheong West,19303
Sham Shui Po - Fu Cheong,18813
Sham Shui Po - Lai Kok,13397
Sham Shui Po - Fortune,16360
Sham Shui Po - Lai Chi Kok South,17181
Sham Shui Po - Mei Foo South,17717
Sham Shui Po - Mei Foo Central,13209
Sham Shui Po - Mei Foo North,15998
Sham Shui Po - Lai Chi Kok Central,19781
Sham Shui Po - Lai Chi Kok North,15045
Sham Shui Po - Un Chau and So Uk,18723
Sham Shui Po - Lei Cheng Uk,12346
Sham Shui Po - Ha Pak Tin,16648
Sham Shui Po - Yau Yat Tsuen,15052
"Sham Shui Po - Nam Shan, Tai Hang Tung and Tai Hang Sai",14736
Sham Shui Po - Lung Ping and Sheung Pak Tin,16198
Kowloon City - Ma Tau Wai,20024
Kowloon City - Ma Hang Chung,20493
Kowloon City - Ma Tau Kok,15489
Kowloon City - Lok Man,15881
Kowloon City - Sheung Lok,15311
Kowloon City - Ho Man Tin,20591
Kowloon City - Kadoorie,18660
Kowloon City - Prince,16068
Kowloon City - Kowloon Tong,21228
Kowloon City - Lung Shing,15268
Kowloon City - Sung Wong Toi,22251
Kowloon City - Kai Tak North,16141
Kowloon City - Kai Tak South,14913
Kowloon City - Hoi Sham,15652
Kowloon City - To Kwa Wan North,15691
Kowloon City - To Kwa Wan South,14837
Kowloon City - Hok Yuen Laguna Verde,19490
Kowloon City - Whampoa East,17762
Kowloon City - Whampoa West,22196
Kowloon City - Hung Hom Bay,18933
Kowloon City - Hung Hom,14235
Kowloon City - Ka Wai,19597
Kowloon City - Oi Man,14635
Kowloon City - Oi Chun,13386
Wong Tai Sin - Lung Tsui,16538
Wong Tai Sin - Lung Ha,11737
Wong Tai Sin - Lung Sheung,20048
Wong Tai Sin - Fung Wong,15093
Wong Tai Sin - Fung Tak,15358
Wong Tai Sin - Lung Sing,19555
Wong Tai Sin - San Po Kong,24012
Wong Tai Sin - Tung Tau,16848
Wong Tai Sin - Tung Mei,16376
Wong Tai Sin - Lok Fu,14352
Wong Tai Sin - Wang Tau Hom,17289
Wong Tai Sin - Tin Keung,13747
Wong Tai Sin - Tsui Chuk and Pang Ching,18175
Wong Tai Sin - Chuk Yuen South,15396
Wong Tai Sin - Chuk Yuen North,15209
Wong Tai Sin - Tsz Wan West,20076
Wong Tai Sin - Ching Oi,20755
Wong Tai Sin - Ching On,22617
Wong Tai Sin - Tsz Wan East,20899
Wong Tai Sin - King Fu,18835
Wong Tai Sin - Choi Wan East,14785
Wong Tai Sin - Choi Wan South,12691
Wong Tai Sin - Choi Wan West,13680
Wong Tai Sin - Chi Choi,16102
Wong Tai Sin - Choi Hung,15062
Kwun Tong - Kwun Tong Central,15553
Kwun Tong - Kowloon Bay,13061
Kwun Tong - Kai Yip,15092
Kwun Tong - Lai Ching,15238
Kwun Tong - Ping Shek,13144
Kwun Tong - Sheung Choi,22064
Kwun Tong - Jordan Valley,20291
Kwun Tong - Shun Tin,18530
Kwun Tong - Sheung Shun,17997
Kwun Tong - On Lee,14491
Kwun Tong - Po Tat,22449
Kwun Tong - Sau Mau Ping North,20616
Kwun Tong - Hiu Lai,17046
Kwun Tong - Sau Mau Ping South,15415
Kwun Tong - Sau Mau Ping Central,16979
Kwun Tong - Hing Tin,17136
Kwun Tong - Lam Tin,22122
Kwun Tong - Kwong Tak,18950
Kwun Tong - Ping Tin,16354
Kwun Tong - Pak Nga,13018
Kwun Tong - Yau Tong East,21280
Kwun Tong - Yau Lai,20709
Kwun Tong - Chui Cheung,23263
Kwun Tong - Yau Tong West,19271
Kwun Tong - Laguna City,26271
Kwun Tong - King Tin,20174
Kwun Tong - Tsui Ping,18554
Kwun Tong - Po Lok,14077
Kwun Tong - Yuet Wah,13709
Kwun Tong - Hip Hong,16839
Kwun Tong - Hong Lok,15970
Kwun Tong - Ting On,17995
Kwun Tong - Upper Ngau Tau Kok Estate,15204
Kwun Tong - Lower Ngau Tau Kok Estate,17015
Kwun Tong - To Tai,17060
Kwun Tong - Lok Wah North,12670
Kwun Tong - Lok Wah South,12934
Kwai Tsing - Kwai Hing,18005
Kwai Tsing - Kwai Shing East Estate,20013
Kwai Tsing - Upper Tai Wo Hau,13779
Kwai Tsing - Lower Tai Wo Hau,13461
Kwai Tsing - Kwai Chung Estate North,20378
Kwai Tsing - Kwai Chung Estate South,21729
Kwai Tsing - Shek Yam,22396
Kwai Tsing - On Yam,16327
Kwai Tsing - Shek Lei South,20068
Kwai Tsing - Shek Lei North,22586
Kwai Tsing - Tai Pak Tin,23783
Kwai Tsing - Kwai Fong,18492
Kwai Tsing - Wah Lai,16996
Kwai Tsing - Lai Wah,16187
Kwai Tsing - Cho Yiu,16082
Kwai Tsing - Hing Fong,24334
Kwai Tsing - Lai King,13985
Kwai Tsing - Kwai Shing West Estate,17804
Kwai Tsing - On Ho,20605
Kwai Tsing - Wai Ying,19900
Kwai Tsing - Tsing Yi Estate,14924
Kwai Tsing - Greenfield,18194
Kwai Tsing - Cheung Ching,18663
Kwai Tsing - Cheung Hong,14091
Kwai Tsing - Shing Hong,15923
Kwai Tsing - Tsing Yi South,17327
Kwai Tsing - Cheung Hang,13968
Kwai Tsing - Ching Fat,17661
Kwai Tsing - Cheung On,12911
Tsuen Wan - Tak Wah,22448
Tsuen Wan - Yeung Uk Road,23996
Tsuen Wan - Hoi Bun,19955
Tsuen Wan - Clague Garden,17294
Tsuen Wan - Fuk Loi,14729
Tsuen Wan - Discovery Park,16864
Tsuen Wan - Tsuen Wan Centre,15558
Tsuen Wan - Allway,20391
Tsuen Wan - Lai To,19308
Tsuen Wan - Ting Sham,18573
Tsuen Wan - Tsuen Wan West,19778
Tsuen Wan - Tsuen Wan Rural,19687
Tsuen Wan - Ma Wan,15012
Tsuen Wan - Luk Yeung,14579
Tsuen Wan - Lei Muk Shue East,17410
Tsuen Wan - Lei Muk Shue West,17437
Tsuen Wan - Shek Wai Kok,13318
Tsuen Wan - Cheung Shek,12579
Tuen Mun - Tuen Mun Town Centre,21629
Tuen Mun - Siu Chi,19961
Tuen Mun - Siu Tsui,18796
Tuen Mun - On Ting,16265
Tuen Mun - Yau Oi South,15144
Tuen Mun - Yau Oi North,15175
Tuen Mun - Tsui Hing,19094
Tuen Mun - Shan King,16842
Tuen Mun - King Hing,14681
Tuen Mun - Hing Tsak,15187
Tuen Mun - San Hui,19477
Tuen Mun - Sam Shing,21552
Tuen Mun - Hanford,20884
Tuen Mun - Fu Sun,18968
Tuen Mun - Yuet Wu,12923
Tuen Mun - Siu Hei,12660
